#JD                    MAG              ERR               SURVEY Filter
2457755.939759999979   0.027000000000   0.024000000000    ASAS-SN V
2457755.941000000108   0.055000000000   0.023000000000    ASAS-SN V
2457755.942249999847  -0.001000000000   0.022000000000    ASAS-SN V
2457757.810149999801   0.011000000000   0.023000000000    ASAS-SN V
2457757.811410000082   0.026000000000   0.023000000000    ASAS-SN V
2457757.812650000211   0.005000000000   0.023000000000    ASAS-SN V
2457758.952479999978  -0.018000000000   0.024000000000    ASAS-SN V
2457758.953749999870  -0.010000000000   0.024000000000    ASAS-SN V
2457758.955010000151  -0.032000000000   0.023000000000    ASAS-SN V
2457765.924819999840  -0.070000000000   0.046000000000    ASAS-SN V
2457765.926070000045   0.007000000000   0.053000000000    ASAS-SN V
2457766.874379999936   0.091000000000   0.041000000000    ASAS-SN V
2457766.875640000217   0.034000000000   0.038000000000    ASAS-SN V
2457766.876889999956   0.082000000000   0.040000000000    ASAS-SN V
2457769.922350000124   0.019000000000   0.030000000000    ASAS-SN V
2457769.923599999864  -0.016000000000   0.030000000000    ASAS-SN V
2457769.924870000221  -0.059000000000   0.029000000000    ASAS-SN V
2457771.869950000197   0.017000000000   0.023000000000    ASAS-SN V
2457771.871220000088  -0.049000000000   0.022000000000    ASAS-SN V
2457771.872469999827   0.012000000000   0.024000000000    ASAS-SN V
2457776.901709999889  -0.041000000000   0.027000000000    ASAS-SN V
2457776.902979999781   0.060000000000   0.037000000000    ASAS-SN V
2457776.904219999909  -0.170000000000   0.115000000000    ASAS-SN V
2457777.898300000001   0.083000000000   0.024000000000    ASAS-SN V
2457777.899559999816   0.120000000000   0.024000000000    ASAS-SN V
2457777.900810000021   0.032000000000   0.022000000000    ASAS-SN V
2457780.891429999843   0.005000000000   0.023000000000    ASAS-SN V
2457780.892709999811   0.130000000000   0.029000000000    ASAS-SN V
2457780.894009999931  -0.001000000000   0.022000000000    ASAS-SN V
2457781.788730000146  -0.024000000000   0.022000000000    ASAS-SN V
2457781.790000000037  -0.062000000000   0.021000000000    ASAS-SN V
2457781.791280000005  -0.033000000000   0.021000000000    ASAS-SN V
2457783.881889999844   0.001000000000   0.023000000000    ASAS-SN V
2457783.883169999812   0.000000000000   0.024000000000    ASAS-SN V
2457783.884440000169  -0.016000000000   0.023000000000    ASAS-SN V
2457785.870829999913  -0.016000000000   0.069000000000    ASAS-SN V
2457785.872099999804  -0.037000000000   0.061000000000    ASAS-SN V
2457785.873370000161  -0.031000000000   0.048000000000    ASAS-SN V
2457786.814710000064   0.012000000000   0.022000000000    ASAS-SN V
2457786.815979999956  -0.003000000000   0.023000000000    ASAS-SN V
2457786.817270000000   0.056000000000   0.025000000000    ASAS-SN V
2457793.733889999799   0.027000000000   0.036000000000    ASAS-SN V
2457793.735160000157   0.067000000000   0.037000000000    ASAS-SN V
2457793.736440000124   0.024000000000   0.036000000000    ASAS-SN V
2457798.815520000178   0.051000000000   0.031000000000    ASAS-SN V
