# BJD-2454833, Flux, Error
2.995161546878742229e+03 1.001923835700660348e+00 1.129487174284200742e-04
2.995181979004344612e+03 1.002234387916895786e+00 1.129487174284200742e-04
2.995202410929472535e+03 1.003152578841993048e+00 1.129487174284200742e-04
2.995222842954608495e+03 1.003883011081365906e+00 1.129487174284200742e-04
2.995243275078813895e+03 1.005358221734189428e+00 1.129487174284200742e-04
2.995263707003010495e+03 1.006302895389709962e+00 1.129487174284200742e-04
2.995284139126284572e+03 1.007159999658912231e+00 1.129487174284200742e-04
2.995304571149557887e+03 1.008484969823146171e+00 1.129487174284200742e-04
2.995325003071891842e+03 1.010195100345387509e+00 1.129487174284200742e-04
2.995345435193768935e+03 1.008801816322927536e+00 1.129487174284200742e-04
2.995386299136582238e+03 1.013446566034418739e+00 1.129487174284200742e-04
2.995406731257528008e+03 1.014442941119331643e+00 1.129487174284200742e-04
2.995427163277541695e+03 1.015414553260988617e+00 1.129487174284200742e-04
2.995447595197081682e+03 1.017352414658027726e+00 1.129487174284200742e-04
2.995468027316630469e+03 1.018125142183975873e+00 1.129487174284200742e-04
2.995488459335247171e+03 1.018533377517753857e+00 1.129487174284200742e-04
2.995508891253390175e+03 1.019144425434979739e+00 1.129487174284200742e-04
